Entity,source,event,sport_category,count
Fettes Upgrade - Ténéré,['1000PS'],['Dakar Rally '],Motorsports,1
Brad Sweet,['FloRacing'],['NASCAR '],Motorsports,1
Porsche Vault,['msnNOW'],['Dakar Rally '],Motorsports,1
Zane Smith,['EssentiallySports'],['NASCAR '],Motorsports,1
Jim Campbell,['RACER'],['NASCAR '],Motorsports,1
Don,['Yahoo Sports'],['NASCAR '],Motorsports,1
Vladimiros Tziortzis,['Speedway Digest - Home for NASCAR News'],['NASCAR '],Motorsports,1
Break Down Stigmas,['Yahoo Finance'],['NASCAR '],Motorsports,1
Linee J. (Moniere) Claflin,['WWNY'],['NASCAR '],Motorsports,1
Dale Earnhardt Jr,['EssentiallySports'],['NASCAR '],Motorsports,1
Tina Marie Langtry,['WWNY'],['NASCAR '],Motorsports,1
Charles Leclerc,['Sportskeeda'],['NASCAR '],Motorsports,1
Pruett Lends,['SPEED SPORT'],['NASCAR '],Motorsports,1
Stewart Top Alcohol,['SPEED SPORT'],['NASCAR '],Motorsports,1
Justin Oplinger Wins,['Speedway Digest - Home for NASCAR News'],['NASCAR '],Motorsports,1
Allison,['Speedway Digest - Home for NASCAR News'],['NASCAR '],Motorsports,1
Tom Werner,['Yahoo Eurosport UK'],['NASCAR '],Motorsports,1
Keith Myers,['Yahoo Finance'],['NASCAR '],Motorsports,1
Rolex,['Yahoo Sports'],['24 Hours of Le Mans '],Motorsports,1
Wayne,['Yahoo Sports'],['24 Hours of Le Mans '],Motorsports,1
Fernando Alonso,['British GQ'],['24 Hours of Le Mans '],Motorsports,1
Lewis Hamilton,['British GQ'],['24 Hours of Le Mans '],Motorsports,1
Marijuana,['The Sportsrush'],['24 Hours of Le Mans '],Motorsports,1
Casa Magna,['halfwheel.com'],['24 Hours of Le Mans '],Motorsports,1
Gui Santos,['Hoops Hype'],['24 Hours of Le Mans '],Motorsports,1
Marie McInerney,['Tillamook Headlight-Herald'],['24 Hours of Le Mans '],Motorsports,1
Historic Car,['Automotive World'],['Dakar Rally '],Motorsports,1
Enfield Himalayan,['The Financial Express'],['Dakar Rally '],Motorsports,1
Tino Livramento,['Football.London'],['Thomas Cup '],Badminton,1
Lucas Hernandez,['Bayern Strikes'],['Thomas Cup '],Badminton,1
Hawks Beat Wimbledon,['Henley Herald'],['Wimbledon '],Tennis,1
St Andrews,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Tottenham Hotspur - Does,['The Spurs Web'],['All England Championships '],Badminton,1
Michelin,['road.cc'],['All England Championships '],Badminton,1
Nicolas Jackson,['sportsmax.tv'],['All England Championships '],Badminton,1
Marcus Rashford,['sportsmax.tv'],['All England Championships '],Badminton,1
Victor Lindelof,['sportsmax.tv'],['All England Championships '],Badminton,1
Jack Campbell,['ESPN'],['Stanley Cup '],Ice Hockey,1
Connor Bedard,['MassLive.com'],['Stanley Cup '],Ice Hockey,1
Blackhawks,['CNN'],['Stanley Cup '],Ice Hockey,1
Don Raleigh,['NHL.com'],['Stanley Cup '],Ice Hockey,1
Jack Eichel,['NHL.com'],['Stanley Cup '],Ice Hockey,1
Yahoo Fantasy Hockey,['Yahoo Sports'],['Stanley Cup '],Ice Hockey,1
Plus Patrick Kane,['The Athletic'],['Stanley Cup '],Ice Hockey,1
Keeler,['The Denver Post'],['Stanley Cup '],Ice Hockey,1
Cale Makar,['The Denver Post'],['Stanley Cup '],Ice Hockey,1
Mikko Rantanen,['The Denver Post'],['Stanley Cup '],Ice Hockey,1
Margaret Atwood,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Vegas,['WFMJ'],['Stanley Cup '],Ice Hockey,1
Vegas Golden,['NHL.com'],['Stanley Cup '],Ice Hockey,1
Klutch Vodka,['NHL.com'],['Stanley Cup '],Ice Hockey,1
Vegas Golden Knights' Direct,['Sports Video Group'],['Stanley Cup '],Ice Hockey,1
Jeff Carter,['The Hockey News'],['Stanley Cup '],Ice Hockey,1
Braverman,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Foster Hewitt Memorial Trophy,['NHL.com'],['Stanley Cup '],Ice Hockey,1
Dan Rusanowsky,['NHL.com'],['Stanley Cup '],Ice Hockey,1
Doncaster Rovers,['Accrington Stanley'],['Stanley Cup '],Ice Hockey,1
Kalvin Phillips,['The Spurs Web'],['All England Championships '],Badminton,1
Rudi Garcia,['sportsmax.tv'],['All England Championships '],Badminton,1
Paul Hurst,['Grimsby Live'],['Thomas Cup '],Badminton,1
Gunman,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Renshaw Joins,['Outside Magazine'],['Tour de France '],Cycling,1
WorldTour,['Rouleur'],['Tour de France '],Cycling,1
Ashleigh Moolman-Pasio,['Outside Magazine'],['Tour de France '],Cycling,1
Civic,['New Zealand Herald'],['Tour de France '],Cycling,1
Victor Lafay,['WielerFlits'],['Tour de France '],Cycling,1
AG2R Citroën,['WielerFlits'],['Tour de France '],Cycling,1
Pádraig Harrington,['Irish Independent'],['Ryder Cup '],Golf,1
Luke,['Irish Independent'],['Ryder Cup '],Golf,1
Mock Patrick,['EssentiallySports'],['Ryder Cup '],Golf,1
Anthony Joshua,['talkSPORT'],['Ryder Cup '],Golf,1
Adam Silver,['CBS Sports'],['Ryder Cup '],Golf,1
Mary Shelley-Smith,['VenuesNow'],['Ryder Cup '],Golf,1
Damien,['Killarney Today'],['Ryder Cup '],Golf,1
Jake Owen,['The First Call'],['Ryder Cup '],Golf,1
Winter,['The First Call'],['Ryder Cup '],Golf,1
DJ Khaled Looks Back,['Complex'],['Ryder Cup '],Golf,1
Forty Acres,['TexasSports.com'],['Ryder Cup '],Golf,1
Jeff Kiddie,['PGA.com'],['Ryder Cup '],Golf,1
Franco Chimenti,['Tennis World USA'],['Ryder Cup '],Golf,1
England Deaf Futsal,['Sky Sports'],['All England Championships '],Badminton,1
Maxwell,['ESPNcricinfo'],['All England Championships '],Badminton,1
Gary Lineker,['The Mirror'],['All England Championships '],Badminton,1
Jon Boutcher,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Tawa HS,['Volleyball Magazine'],['All England Championships '],Badminton,1
Ashling Murphy,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Connor McDavid,['Sportskeeda'],['Stanley Cup '],Ice Hockey,1
Jeremy Swayman,['Yahoo Sports'],['Stanley Cup '],Ice Hockey,1
Tesco Clubcard,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Joe Thornton,['Yardbarker'],['Stanley Cup '],Ice Hockey,1
Justin Thomas,['GolfDigest.com'],['Thomas Cup '],Badminton,1
safari,['GolfDigest.com'],['Thomas Cup '],Badminton,1
Jon Rahm,['GolfDigest.com'],['Thomas Cup '],Badminton,1
green jacket,['GolfDigest.com'],['Thomas Cup '],Badminton,1
Katie-George Dunlevy,['Cycling Ireland'],['Thomas Cup '],Badminton,1
Linda Kelly,['Cycling Ireland'],['Thomas Cup '],Badminton,1
Wrexham,['Wrexham AFC'],['Thomas Cup '],Badminton,1
Nick Kyrgios,['Tennis365'],['Wimbledon '],Tennis,1
Comoros,['Modern Ghana'],['Thomas Cup '],Badminton,1
Ali Al-Hamadi,['Chronicle Live'],['Wimbledon '],Tennis,1
Christenson,['Volleyball Magazine'],['Thomas Cup '],Badminton,1
Zenit Kazan,['Volleyball Magazine'],['Thomas Cup '],Badminton,1
Gabriel Jesus,['Football.London'],['Thomas Cup '],Badminton,1
Taylor,['talkSPORT'],['Wimbledon '],Tennis,1
Neal Maupay,['BBC'],['Thomas Cup '],Badminton,1
Eddie Nketiah,['Football.London'],['Thomas Cup '],Badminton,1
Benjamin Bouley Obituary,['Legacy.com'],['Thomas Cup '],Badminton,1
Carlo Ancelotti,['sportsmax.tv'],['Thomas Cup '],Badminton,1
Genie Bouchard,['talkSPORT'],['Wimbledon '],Tennis,1
Johno,['AFC Wimbledon'],['Wimbledon '],Tennis,1
Cristiano Ronaldo,['The Mirror'],['Thomas Cup '],Badminton,1
Karim Benzema,['The Mirror'],['Thomas Cup '],Badminton,1
Matchup Keys,['Predlines'],['Thomas Cup '],Badminton,1
Josh Williams,['The Columbus Dispatch'],['Thomas Cup '],Badminton,1
Terry,['AFC Wimbledon'],['Wimbledon '],Tennis,1
Calvin,['Caribbean Life'],['Thomas Cup '],Badminton,1
Thomas Partey,['Sky Sports'],['Thomas Cup '],Badminton,1
Gabriel Jesus Return,['Pain In The Arsenal'],['Thomas Cup '],Badminton,1
Billy Smith,['Lighthouse Hockey'],['Stanley Cup '],Ice Hockey,1
Rematch,['NHL.com'],['Stanley Cup '],Ice Hockey,1
Sam Reinhart,['The Hockey News'],['Stanley Cup '],Ice Hockey,1
Avalanche,['Mile High Hockey'],['Stanley Cup '],Ice Hockey,1
Golf,['NBC Sports'],['Stanley Cup '],Ice Hockey,1
Chris Como,['NBC Sports'],['Stanley Cup '],Ice Hockey,1
Jonathan Quick,['Forever Blueshirts'],['Stanley Cup '],Ice Hockey,1
Winnipeg Jets,['Arctic Ice Hockey'],['Stanley Cup '],Ice Hockey,1
Khan,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Inconsistent Maple Leafs,['Regina Leader Post'],['Stanley Cup '],Ice Hockey,1
Penguins,['Pittsburgh Hockey Now'],['Stanley Cup '],Ice Hockey,1
Huska,['TSN'],['Stanley Cup '],Ice Hockey,1
Roland Melanson,['Lighthouse Hockey'],['Stanley Cup '],Ice Hockey,1
Der Klassiker Win,['LatestLY'],['Thomas Cup '],Badminton,1
Jennings Trophy,['Lighthouse Hockey'],['Stanley Cup '],Ice Hockey,1
Robby Fabbri,['Sportskeeda'],['Stanley Cup '],Ice Hockey,1
Suzuki,['TSN'],['Stanley Cup '],Ice Hockey,1
Kevin Korchinski,['The Athletic'],['Stanley Cup '],Ice Hockey,1
Nicklas Backstrom,['ClutchPoints'],['Stanley Cup '],Ice Hockey,1
Dan Daily,['Pittsburgh Hockey Now'],['Stanley Cup '],Ice Hockey,1
Tocchet Remaking Canucks,['Pittsburgh Hockey Now'],['Stanley Cup '],Ice Hockey,1
D.J. Smith,['TSN'],['Stanley Cup '],Ice Hockey,1
David Hockney,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Robbie Williams,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Nicole Scherzinger,['Wimbledon Guardian'],['Wimbledon '],Tennis,1
Armored Core,['Sportskeeda'],['ESports '],Esports,1
