title,processed_title,League Name,category
Ten Hag & Keane give Mainoo verdict after Man Utd midfielder stars in Everton win,ten Hag & Keane give Mainoo verdict Man Utd midfielder star Everton win,other,Others
Roy Keane full of praise for Kobbie Mainoo after Man United beat Everton 3-0,Roy Keane full praise Kobbie Mainoo Man United beat Everton 3 - 0,other,Others
Pundit spots 'incredible' Kobbie Mainoo moment that convinced him he'll be a Man Utd star,pundit spot ' incredible ' Kobbie Mainoo moment convince 'll Man Utd star,other,Others
Kobbie Mainoo Set the Tone on Day Many Expected Everton to Suffocate Man Utd | The Analyst,Kobbie Mainoo set tone Day many expect Everton Suffocate Man Utd | analyst,other,Others
Gary Neville shares what Manchester United insiders told him about Kobbie Mainoo,Gary Neville share Manchester United insider tell Kobbie Mainoo,other,Others
Luke Shaw & Kobe Mainoo return! Erik ten Hag welcomes key Man Utd duo back into starting XI for clash with Everton ...,Luke Shaw & Kobe Mainoo return ! Erik ten Hag welcome key Man Utd duo back start XI clash Everton ...,other,Others
Erik ten Hag to brutally axe big-money Man Utd signing after youngster makes 'brilliant' debut,Erik ten hag brutally axe big - money Man Utd signing youngster make ' brilliant ' debut,other,Others
Kobbie Mainoo’s Emergence Could Be Game-Changing For Manchester United,Kobbie Mainoo ’s Emergence could game - change Manchester United,other,Others
Manchester United manager Erik ten Hag hints at major role for Kobbie Mainoo,Manchester United manager Erik ten Hag hint major role Kobbie Mainoo,other,Others
Ferdinand claims 'crazy performance' means Man Utd player has lost his place under Ten Hag,Ferdinand claim ' crazy performance ' mean Man Utd player lose place ten hag,other,Others
"Neville claims Guardiola, City 'will want' Man Utd star after 'classy' Everton showing - 'it hurts to say'","Neville claim Guardiola , City ' want ' Man Utd star ' classy ' Everton show - ' hurt say '",other,Others
Kobbie Mainoo concern at Man Utd as Erik ten Hag warned he faces Liverpool repeat,Kobbie Mainoo concern Man Utd Erik ten Hag warn face Liverpool repeat,other,Others
Erik ten Hag could prove how much he trusts Kobbie Mainoo with Manchester United decision,Erik ten Hag could prove much trust Kobbie Mainoo Manchester United decision,other,Others
Erik ten Hag hints at Kobbie Mainoo role for Manchester United vs Galatasaray,Erik ten Hag hint Kobbie Mainoo role Manchester United vs Galatasaray,other,Others
Erik ten Hag Kobbie Mainoo prediction is turning out to be true at Manchester United,Erik ten Hag Kobbie Mainoo prediction turn true Manchester United,other,Others
How Kobbie Mainoo delivered overdue solution to Manchester United dilemma,Kobbie Mainoo deliver overdue solution Manchester United dilemma,mma,Fighting
FA ‘confident’ Man Utd wonderkid Kobbie Mainoo WILL play for England despite chance to represent another na...,FA ' confident ' Man Utd wonderkid Kobbie Mainoo play England despite chance represent another na ...,other,Others
'Wow' - Manchester United Kobbie Mainoo impressed in three areas vs Everton,' wow ' - Manchester United Kobbie Mainoo impress three area vs Everton,other,Others
Kobbie Mainoo proved Erik ten Hag right in these two moments vs Everton,Kobbie Mainoo prove Erik ten Hag right two moment vs Everton,other,Others
Erik ten Hag wanted to promote Kobbie Mainoo to Man Utd first-team way before Everton,Erik ten Hag want promote Kobbie Mainoo Man Utd first - team way Everton,other,Others
Gary Neville thinks Pep Guardiola will want to sign Man Utd star after Everton drubbing,Gary Neville think Pep Guardiola want sign Man Utd star Everton drub,other,Others
Gary Neville makes Man City admission when giving verdict on Kobbie Mainoo in Manchester United vs Everton,Gary Neville make Man City admission give verdict Kobbie Mainoo Manchester United vs Everton,other,Others
Man Utd may have another Paul Scholes as Kobbie Mainoo earns highest possible praise,Man Utd may another Paul Scholes Kobbie Mainoo earn high possible praise,other,Others
Erik ten Hag drops hint on if Kobbie Mainoo will keep his place in Man Utd team,Erik ten Hag drop hint Kobbie Mainoo keep place Man Utd team,other,Others
Ten Hag sends two Man United young stars warning ahead of Champions League tie,ten Hag send two Man United young star warn ahead Champions League tie,champions league,
Rio Ferdinand believes Man United star has lost his place to Kobbie Mainoo,Rio Ferdinand believe Man United star lose place Kobbie Mainoo,other,Others
Bruno Fernandes in awe of Manchester United star Kobbie Mainoo after PL debut,Bruno Fernandes awe Manchester United star Kobbie Mainoo PL debut,other,Others
Gareth Southgate to try and persuade Kobbie Mainoo to stick with England,Gareth Southgate try persuade Kobbie Mainoo stick England,other,Others
Erik ten Hag makes Kobbie Mainoo prediction after Man Utd beat Everton,Erik ten Hag make Kobbie Mainoo prediction Man Utd beat Everton,other,Others
