Tournament,Home Team,Away Team,Home Score,Away Score,Days,date,Match Type
I Liga,Resovia,Arka,1,2,Yesterday,"Sunday, 29 October 2023",Full time
I-League,Sreenidi,NEROCA,4,0,Yesterday,"Sunday, 29 October 2023",Full time
I-League,Mohammedan,Aizawl,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Indian Super League,Chennaiyin,Punjab FC,5,1,,"Sunday, 29 October 2023",07:23
Iraq Stars League,Talaba,Karkh,1,0,Yesterday,"Sunday, 29 October 2023",Full time
J1 League,Kashiwa Reysol,Kawasaki Frontale,1,1,Yesterday,"Sunday, 29 October 2023",Full time
J2 League,Oita Trinita,Blaublitz Akita,2,1,Yesterday,"Sunday, 29 October 2023",Full time
J2 League,Omiya Ardija,Ventforet Kofu,0,2,Yesterday,"Sunday, 29 October 2023",Full time
J2 League,JEF Utd Chiba,Iwaki FC,1,0,Yesterday,"Sunday, 29 October 2023",Full time
J2 League,Machida Zelvia,Zweigen Kanazawa,1,0,Yesterday,"Sunday, 29 October 2023",Full time
J2 League,Fagiano Okayama,Tochigi SC,1,1,Yesterday,"Sunday, 29 October 2023",Full time
J2 League,Montedio Yamagata,Thespakusatsu Gunma,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Jupiler Pro League,Eupen,Charleroi,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Jupiler Pro League,Anderlecht,OHL,5,1,Yesterday,"Sunday, 29 October 2023",Full time
Jupiler Pro League,Club Brugge,Antwerp,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Jupiler Pro League,Westerlo,R. Union SG,1,3,Yesterday,"Sunday, 29 October 2023",Full time
K League 1,Suwon Bluewings,Daejeon,2,2,Yesterday,"Sunday, 29 October 2023",Full time
K League 1,Ulsan,Daegu,2,0,Yesterday,"Sunday, 29 October 2023",Full time
K League 1,Suwon,Seoul,3,4,Yesterday,"Sunday, 29 October 2023",Full time
K-League 2,Jeonnam Dragons,Chungbuk Cheongju,3,0,Yesterday,"Sunday, 29 October 2023",Full time
K-League 2,Busan IPark,Bucheon,2,1,Yesterday,"Sunday, 29 October 2023",Full time
